date,AAPL,MSFT,WMT,XOM
2010-07-06,;1.16158113731;,;0.776911655531;,;0.905910314433;,;0.842183869897;
2010-07-07,;1.20873786408;,;0.792501855976;,;0.912438357164;,;0.856289412546;
2010-07-08,;1.20596393897;,;0.796213808463;,;0.917287833828;,;0.861931629605;
2010-07-09,;1.21289875173;,;0.79138827023;,;0.921950748825;,;0.861433786923;
2010-07-12,;1.20214979196;,;0.809576837416;,;0.934820357653;,;0.863757052771;
2010-07-13,;1.17649098474;,;0.819599109131;,;0.942654076957;,;0.870892797876;
2010-07-14,;1.18099861304;,;0.829621380846;,;0.939110213091;,;0.868403584467;
2010-07-15,;1.17475728155;,;0.831848552339;,;0.940229349254;,;0.868569532028;
2010-07-16,;1.16747572816;,;0.811804008909;,;0.926427102155;,;0.849485562562;
2010-07-19,;1.14736477115;,;0.82293986637;,;0.923629399925;,;0.856289412546;
2010-07-20,;1.17683772538;,;0.831106161841;,;0.948995643054;,;0.863923000332;
2010-07-21,;1.1879334258;,;0.819227913883;,;0.939110213091;,;0.852472618653;
2010-07-22,;1.21012482663;,;0.842613214551;,;0.948622604752;,;0.870229007634;
2010-07-23,;1.21463245492;,;0.841870824053;,;0.963730379616;,;0.875207434451;
2010-07-26,;1.21151178918;,;0.851150705271;,;0.953658558051;,;0.884998340524;
2010-07-27,;1.23404993065;,;0.853006681514;,;0.950487732486;,;0.891138400266;
2010-07-28,;1.21914008322;,;0.846325167038;,;0.953658558051;,;0.892631928311;
2010-07-29,;1.20596393897;,;0.848923533779;,;0.952352945253;,;0.884334550282;
2010-07-30,;1.20180305132;,;0.841870824053;,;0.954777609182;,;0.874709591769;
2010-08-02,;1.22330097087;,;0.858574610245;,;0.958880987984;,;0.907733156323;
2010-08-03,;1.22399445215;,;0.853006681514;,;0.956642821948;,;0.919183538002;
2010-08-04,;1.22884882108;,;0.839272457313;,;0.962424788076;,;0.919183538002;
2010-08-05,;1.2226074896;,;0.827394209354;,;0.962797826378;,;0.919017590441;
2010-08-06,;1.2153259362;,;0.833333333333;,;0.965968630685;,;0.908230999004;
2010-08-09,;1.22295423024;,;0.835189309577;,;0.971004583983;,;0.915200796548;
2010-08-10,;1.21220527046;,;0.817743132888;,;0.973988847881;,;0.907567208762;
2010-08-11,;1.16886269071;,;0.810690423163;,;0.957160649621;,;0.891304347826;
2010-08-12,;1.17649098474;,;0.798812175204;,;0.946091968865;,;0.888981081978;
2010-08-13,;1.16400832178;,;0.795842613215;,;0.945529180171;,;0.884334550282;
2010-08-16,;1.15707350902;,;0.798812175204;,;0.945716740972;,;0.8838367076;
2010-08-17,;1.17718446602;,;0.810319227914;,;0.957160649621;,;0.897776302688;
2010-08-18,;1.18238557559;,;0.813659985152;,;0.954158975285;,;0.887819449054;
2010-08-19,;1.16747572816;,;0.801410541945;,;0.939150603606;,;0.875207434451;
2010-08-20,;1.16643550624;,;0.79435783222;,;0.942152277942;,;0.86923332227;
2010-08-23,;1.14840499307;,;0.796213808463;,;0.959411889429;,;0.878194490541;
2010-08-24,;1.12101248266;,;0.788047512992;,;0.962413585023;,;0.869897112512;
